id,average_draft_position,first_name,last_name,injury_status,years_experience,headshot_url
3117251,1.0,Christian,McCaffrey,injured_reserve,8,https://a.espncdn.com/i/headshots/nfl/players/full/3117251.png
3116406,2.5,Tyreek,Hill,,9,https://a.espncdn.com/i/headshots/nfl/players/full/3116406.png
4241389,2.5,CeeDee,Lamb,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4241389.png
4262921,5.5,Justin,Jefferson,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4262921.png
4430807,5.5,Bijan,Robinson,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4430807.png
4427366,6.0,Breece,Hall,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4427366.png
4362628,6.5,Ja'Marr,Chase,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4362628.png
4374302,6.5,Amon-Ra,St.Brown,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4374302.png
4047646,10.0,A.J.,Brown,,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png
3929630,10.5,Saquon,Barkley,,7,https://a.espncdn.com/i/headshots/nfl/players/full/3929630.png
4242335,10.5,Jonathan,Taylor,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4242335.png
4429795,11.5,Jahmyr,Gibbs,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4429795.png
4569618,12.5,Garrett,Wilson,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4569618.png
4426515,14.5,Puka,Nacua,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4426515.png
4432708,15.0,Marvin,Harrison,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4432708.png
4239996,15.5,Travis,Etienne,questionable,4,https://a.espncdn.com/i/headshots/nfl/players/full/4239996.png
4430737,18.0,Kyren,Williams,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4430737.png
3043078,19.0,Derrick,Henry,,9,https://a.espncdn.com/i/headshots/nfl/players/full/3043078.png
4047365,20.5,Josh,Jacobs,,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047365.png
4429160,20.5,De'Von,Achane,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4429160.png
4426502,21.0,Drake,London,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4426502.png
16800,21.5,Davante,Adams,,11,https://a.espncdn.com/i/headshots/nfl/players/full/16800.png
3918298,22.0,Josh,Allen,,7,https://a.espncdn.com/i/headshots/nfl/players/full/3918298.png
4361529,24.5,Isiah,Pacheco,injured_reserve,3,https://a.espncdn.com/i/headshots/nfl/players/full/4361529.png
4361370,25.5,Chris,Olave,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4361370.png
3126486,26.5,Deebo,Samuel,questionable,6,https://a.espncdn.com/i/headshots/nfl/players/full/3126486.png
4258173,29.0,Nico,Collins,injured_reserve,4,https://a.espncdn.com/i/headshots/nfl/players/full/4258173.png
15847,30.5,Travis,Kelce,,12,https://a.espncdn.com/i/headshots/nfl/players/full/15847.png
4040715,30.5,Jalen,Hurts,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4040715.png
4430027,31.0,Sam,LaPorta,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4430027.png
3139477,33.0,Patrick,Mahomes,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3139477.png
4379399,33.5,James,Cook,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4379399.png
4697815,34.0,Rachaad,White,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4697815.png
4360438,34.5,Brandon,Aiyuk,injured_reserve,5,https://a.espncdn.com/i/headshots/nfl/players/full/4360438.png
4035687,36.0,Michael,Pittman,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4035687.png
2977187,36.0,Cooper,Kupp,,8,https://a.espncdn.com/i/headshots/nfl/players/full/2977187.png
16737,37.5,Mike,Evans,out,11,https://a.espncdn.com/i/headshots/nfl/players/full/16737.png
3916387,38.0,Lamar,Jackson,,7,https://a.espncdn.com/i/headshots/nfl/players/full/3916387.png
4372016,38.5,Jaylen,Waddle,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4372016.png
3915416,38.5,DJ,Moore,,7,https://a.espncdn.com/i/headshots/nfl/players/full/3915416.png
2976212,39.0,Stefon,Diggs,questionable,10,https://a.espncdn.com/i/headshots/nfl/players/full/2976212.png
4047650,39.5,DK,Metcalf,questionable,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047650.png
4567048,40.0,Kenneth,WalkerIII,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4567048.png
3116385,42.0,Joe,Mixon,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3116385.png
3054850,43.5,Alvin,Kamara,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3054850.png
4595348,44.5,Malik,Nabers,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4595348.png
4241478,46.0,DeVonta,Smith,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4241478.png
4361307,48.5,Trey,McBride,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4361307.png
4385690,49.5,Dalton,Kincaid,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4385690.png
3116365,49.5,Mark,Andrews,,7,https://a.espncdn.com/i/headshots/nfl/players/full/3116365.png
4432577,50.5,C.J.,Stroud,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4432577.png
4429084,53.0,Anthony,Richardson,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4429084.png
3042519,56.0,Aaron,Jones,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3042519.png
2976499,57.0,Amari,Cooper,,10,https://a.espncdn.com/i/headshots/nfl/players/full/2976499.png
4259545,57.5,D'Andre,Swift,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4259545.png
3045147,58.0,James,Conner,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3045147.png
4426354,59.0,George,Pickens,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4426354.png
4569173,60.0,Rhamondre,Stevenson,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4569173.png
4239993,60.5,Tee,Higgins,questionable,5,https://a.espncdn.com/i/headshots/nfl/players/full/4239993.png
4429615,62.0,Zay,Flowers,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4429615.png
4366031,64.5,Tank,Dell,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4366031.png
3040151,64.5,George,Kittle,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3040151.png
3121422,64.5,Terry,McLaurin,,6,https://a.espncdn.com/i/headshots/nfl/players/full/3121422.png
4360248,65.0,Kyle,Pitts,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4360248.png
4035538,65.0,David,Montgomery,,6,https://a.espncdn.com/i/headshots/nfl/players/full/4035538.png
3917315,66.0,Kyler,Murray,,6,https://a.espncdn.com/i/headshots/nfl/players/full/3917315.png
4428331,66.5,Rashee,Rice,injured_reserve,2,https://a.espncdn.com/i/headshots/nfl/players/full/4428331.png
4361777,66.5,Zamir,White,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4361777.png
4241457,67.0,Najee,Harris,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4241457.png
3895856,67.5,Christian,Kirk,out,7,https://a.espncdn.com/i/headshots/nfl/players/full/3895856.png
3915511,68.0,Joe,Burrow,,5,https://a.espncdn.com/i/headshots/nfl/players/full/3915511.png
3051876,70.5,Evan,Engram,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3051876.png
15818,73.0,Keenan,Allen,,12,https://a.espncdn.com/i/headshots/nfl/players/full/15818.png
4036378,74.0,Jordan,Love,questionable,5,https://a.espncdn.com/i/headshots/nfl/players/full/4036378.png
3116165,76.0,Chris,Godwin,injured_reserve,8,https://a.espncdn.com/i/headshots/nfl/players/full/3116165.png
2576414,76.5,Raheem,Mostert,,10,https://a.espncdn.com/i/headshots/nfl/players/full/2576414.png
4361579,77.0,Javonte,Williams,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4361579.png
2577417,77.0,Dak,Prescott,,9,https://a.espncdn.com/i/headshots/nfl/players/full/2577417.png
3916148,79.0,Tony,Pollard,,6,https://a.espncdn.com/i/headshots/nfl/players/full/3916148.png
3925357,79.5,Calvin,Ridley,,6,https://a.espncdn.com/i/headshots/nfl/players/full/3925357.png
4362249,82.0,Jayden,Reed,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4362249.png
4683062,83.5,Xavier,Worthy,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4683062.png
4242355,85.5,Jake,Ferguson,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4242355.png
4040761,86.0,Devin,Singletary,,6,https://a.espncdn.com/i/headshots/nfl/players/full/4040761.png
4035676,87.0,Zack,Moss,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4035676.png
3932905,88.0,Diontae,Johnson,questionable,6,https://a.espncdn.com/i/headshots/nfl/players/full/3932905.png
4569987,88.5,Jaylen,Warren,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4569987.png
3123076,90.5,David,Njoku,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3123076.png
4431299,91.0,Rome,Odunze,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4431299.png
4432665,91.5,Brock,Bowers,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4432665.png
4241474,93.0,Brian,Robinson,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4241474.png
4678008,93.0,Jonathon,Brooks,out,0,https://a.espncdn.com/i/headshots/nfl/players/full/4678008.png
3068267,93.5,Austin,Ekeler,,8,https://a.espncdn.com/i/headshots/nfl/players/full/3068267.png
3128720,94.0,Nick,Chubb,,7,https://a.espncdn.com/i/headshots/nfl/players/full/3128720.png
4430878,97.5,Jaxon,Smith-Njigba,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4430878.png
4431611,98.0,Caleb,Williams,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4431611.png
4361741,99.0,Brock,Purdy,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4361741.png
4248528,99.0,Christian,Watson,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4248528.png
4612826,99.5,Ladd,McConkey,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4612826.png
15795,100.0,DeAndre,Hopkins,,12,https://a.espncdn.com/i/headshots/nfl/players/full/15795.png
4429205,100.5,Jordan,Addison,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4429205.png
4426348,100.5,Jayden,Daniels,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4426348.png
4372019,101.5,Jerome,Ford,questionable,3,https://a.espncdn.com/i/headshots/nfl/players/full/4372019.png
4428557,101.5,Tyjae,Spears,questionable,2,https://a.espncdn.com/i/headshots/nfl/players/full/4428557.png
4362238,102.5,Chase,Brown,,2,https://a.espncdn.com/i/headshots/nfl/players/full/4362238.png
4241479,106.0,Tua,Tagovailoa,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4241479.png
4635008,106.5,Keon,Coleman,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4635008.png
4426388,107.0,Jameson,Williams,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4426388.png
3128429,109.0,Courtland,Sutton,,7,https://a.espncdn.com/i/headshots/nfl/players/full/3128429.png
3046779,109.0,Jared,Goff,,9,https://a.espncdn.com/i/headshots/nfl/players/full/3046779.png
4432773,109.0,Brian,Thomas,questionable,0,https://a.espncdn.com/i/headshots/nfl/players/full/4432773.png
3051392,109.5,Ezekiel,Elliott,,9,https://a.espncdn.com/i/headshots/nfl/players/full/3051392.png
3051926,110.0,Gus,Edwards,injured_reserve,7,https://a.espncdn.com/i/headshots/nfl/players/full/3051926.png
4429275,110.5,Trey,Benson,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4429275.png
4429096,111.0,Blake,Corum,,0,https://a.espncdn.com/i/headshots/nfl/players/full/4429096.png
3121023,115.0,Dallas,Goedert,questionable,7,https://a.espncdn.com/i/headshots/nfl/players/full/3121023.png
4241416,119.0,Chuba,Hubbard,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4241416.png
4361432,121.0,Romeo,Doubs,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4361432.png
4241985,122.5,J.K.,Dobbins,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4241985.png
3121427,123.5,Curtis,Samuel,questionable,8,https://a.espncdn.com/i/headshots/nfl/players/full/3121427.png
4360310,123.5,Trevor,Lawrence,,4,https://a.espncdn.com/i/headshots/nfl/players/full/4360310.png
4373678,124.0,Khalil,Shakir,,3,https://a.espncdn.com/i/headshots/nfl/players/full/4373678.png
4036133,125.0,T.J.,Hockenson,questionable,6,https://a.espncdn.com/i/headshots/nfl/players/full/4036133.png
4038941,126.0,Justin,Herbert,,5,https://a.espncdn.com/i/headshots/nfl/players/full/4038941.png
